,Title,Budget,Gross
0,The Shawshank Redemption,25000000,58500000.0
1,The Godfather,6000000,245066411.0
3,The Dark Knight,185000000,1004558444.0
5,Schindler's List,22000000,221000000.0
6,The Lord of the Rings: The Return of the King,94000000,1119929521.0
7,Pulp Fiction,8000000,213928762.0
9,Fight Club,63000000,71000000.0
10,The Lord of the Rings: The Fellowship of the Ring,93000000,871530324.0
11,Forrest Gump,55000000,677945399.0
12,Inception,160000000,825532764.0
13,Star Wars: Episode V - The Empire Strikes Back,18000000,247916602.0
14,The Lord of the Rings: The Two Towers,94000000,926047111.0
16,The Matrix,63000000,463517383.0
19,Se7en,33000000,327311859.0
20,City of God,3300000,32059295.0
21,Life Is Beautiful,20000000,229163264.0
22,The Silence of the Lambs,19000000,272742922.0
23,Star Wars: Episode IV - A New Hope,11000000,775398007.0
25,Saving Private Ryan,70000000,481840909.0
26,Spirited Away,19000000,274925095.0
27,Avengers: Endgame,356000000,2795486053.0
28,The Green Mile,60000000,286801374.0
29,The Usual Suspects,6000000,34449356.0
30,Interstellar,165000000,675020017.0
31,American History X,7500000,23875127.0
32,The Lion King,45000000,968483777.0
33,Back to the Future,19000000,381109762.0
34,Psycho,806947,50000000.0
36,The Pianist,35000000,120072577.0
38,Terminator 2: Judgment Day,102000000,315000000.0
39,The Departed,90000000,289847354.0
40,Gladiator,103000000,457640427.0
42,Whiplash,3300000,48982041.0
43,The Prestige,40000000,109676311.0
44,Casablanca,950000,14952620.0
45,Rear Window,1000000,36888916.0
46,Raiders of the Lost Ark,18000000,389925971.0
48,Alien,11000000,203630630.0
49,Memento,9000000,39723096.0
52,The Great Dictator,2000000,11000000.0
53,The Lives of Others,2000000,77356819.0
54,Avengers: Infinity War,321000000,2048709917.0
55,Spider-Man: Into the Spider-Verse,90000000,375494587.0
56,Django Unchained,100000000,425368238.0
59,Sunset Blvd.,1752000,5303175.0
61,WALL·E,180000000,534767889.0
62,Witness for the Prosecution,3000000,16350000.0
63,Oldboy,3000000,14980005.0
64,The Dark Knight Rises,250000000,1084939099.0
66,Aliens,18500000,131060248.0
67,American Beauty,15000000,226200000.0
68,Coco,175000000,807082196.0
69,Das Boot,14000000,73482661.0
70,Braveheart,72000000,210409945.0
71,Star Wars: Episode VI - Return of the Jedi,32500000,572705079.0
74,Toy Story,30000000,373554033.0
75,Vertigo,2479000,25000000.0
76,Requiem for a Dream,4500000,7390108.0
78,2001: A Space Odyssey,12000000,190700000.0
79,Inglourious Basterds,75000000,313600000.0
80,Good Will Hunting,10000000,225933435.0
81,North by Northwest,3101000,22213000.0
82,Eternal Sunshine of the Spotless Mind,20000000,73169222.0
85,The Hunt,3800000,18309793.0
86,Lawrence of Arabia,15000000,77324144.0
87,Singin' in the Rain,2540800,13979088.0
91,Toy Story 3,200000000,1063171911.0
93,Scarface,25000000,65884703.0
97,A Separation,500000,24426169.0
98,The Apartment,3000000,25000000.0
99,Indiana Jones and the Last Crusade,48000000,474171806.0
100,L.A. Confidential,35000000,126216940.0
101,Up,175000000,731342744.0
102,Once Upon a Time ... in Hollywood,90000000,108138729.0
104,Incendies,6800000,12597210.0
105,Heat,60000000,107000000.0
106,Batman Begins,150000000,374218673.0
107,Die Hard,28000000,140767956.0
108,Unforgiven,14400000,159157447.0
109,Green Book,23000000,319737361.0
111,Children of Heaven,180000,1628579.0
114,Howl's Moving Castle,24000000,235184110.0
118,A Beautiful Mind,58000000,313542341.0
